x,y,z,protein_coulomb,protein_lennard_jones,ligand_coulomb,ligand_lennard_jones
-7.625,2.260000228881836,-1.6800003051757812,-5.315031055951989,-0.3604838679326087,-0.17687762434535823,-0.0018915591744744276
-7.625,2.260000228881836,-1.1800003051757812,-5.42342246485417,-0.3789546022793107,-0.18259068210945303,-0.0023474955280801163
-7.625,2.260000228881836,-0.6800003051757812,-5.463957345031501,-0.47462848370288885,-0.18677089640389458,-0.0027707016325937595
-7.625,2.260000228881836,-0.18000030517578125,-5.504534706200461,-0.5508838993487853,-0.18902297458419018,-0.004512136501166115
-7.625,2.260000228881836,0.31999969482421875,-5.621301331905164,-0.11819801539857303,-0.18906276618810555,-0.0046618864411697575
-7.625,2.260000228881836,2.8199996948242188,-5.449918418222979,-0.19464111878351184,-0.159531154142276,-0.001531151433618473
-7.625,2.760000228881836,-1.6800003051757812,-5.630068724546932,0.6538963520818586,-0.16703533197481657,-0.001455458665518349
-7.625,2.760000228881836,-1.1800003051757812,-5.747518588954464,1.5689817873853222,-0.17160003864960596,-0.0017732268802124456
-7.625,2.760000228881836,-0.6800003051757812,-5.6849760431466505,0.7006803162743369,-0.17479082719970726,-0.0020617925725662954
-7.625,2.760000228881836,-0.18000030517578125,-5.621110584273678,-0.2578715955208868,-0.1763371879172504,-0.002270036181192047
-7.125,-2.239999771118164,-0.18000030517578125,-5.878123231195903,-0.15433580740516856,-0.48043364670390765,-0.19753588559623778
-7.125,-1.739999771118164,0.31999969482421875,-5.836263909055234,-0.6783750501889353,-0.5125572574444576,-0.22367534298263259
-7.125,-1.739999771118164,0.8199996948242188,-6.058590447002417,0.08261899968263174,-0.49879957090038013,-0.21353963621259928
-7.125,-1.239999771118164,0.8199996948242188,-6.055225395922073,-0.13002484411243584,-0.47042597389688373,-0.19797519666556687
-7.125,-0.7399997711181641,0.8199996948242188,-5.910497652799547,-0.3823512558435599,-0.4200287809454213,-0.15713269887273648
-7.125,-0.7399997711181641,4.319999694824219,-6.680949822956494,0.8124290122829784,-0.17807811214304906,-0.004891322884640259
-7.125,-0.23999977111816406,0.8199996948242188,-5.712014886362554,-0.3765901097599651,-0.3654648739995166,-0.11024096082515948
-7.125,-0.23999977111816406,1.3199996948242188,-5.99558214826519,0.019252339260379735,-0.3438985622764787,-0.09095956668205232
-7.125,-0.23999977111816406,3.8199996948242188,-6.43007924586894,2.171139291494839,-0.19466085862628646,-0.010611003565926511
-7.125,-0.23999977111816406,4.319999694824219,-6.099249723773786,-0.4545067674271295,-0.1737995280410054,-0.004081749671977848
-7.125,0.26000022888183594,0.8199996948242188,-5.533561298051053,-0.3243874710781634,-0.3176437700893796,-0.07307842939896016
-7.125,0.26000022888183594,1.3199996948242188,-5.680228569624266,-0.4095689746748159,-0.30266474599776594,-0.060419464704245904
-7.125,0.26000022888183594,1.8199996948242188,-5.884607801307822,-0.2614984867616304,-0.28077073974971917,-0.04615528797872454
-7.125,0.26000022888183594,2.3199996948242188,-6.071978259836056,0.3634555207433577,-0.2558253679251249,-0.032701569471448845
-7.125,0.26000022888183594,2.8199996948242188,-6.137078948121899,0.6673915733342161,-0.23083817749713398,-0.02094482994149874
-7.125,0.26000022888183594,3.3199996948242188,-6.045238661432743,0.008508792045697806,-0.20754597097789723,-0.013638388411285427
-7.125,0.26000022888183594,3.8199996948242188,-5.873593625556772,-0.3881759696946375,-0.1866669415071016,-0.00878765839084732
-7.125,0.7600002288818359,-3.1800003051757812,-4.8572718350689055,-0.35055256972984805,-0.1912311347172417,-0.0033411340074678423
